2026-09-21 12:27:41.145 |INFO    | funbuild.core.submodule_workspace_build : submodule_workspace_build: 275 | funbuild | - funmill-dev build (submodule workspace)
2026-09-21 12:27:41.146 |INFO    | funbuild.core.base : base: 149 | funbuild | - funmill-dev pull
2026-09-21 12:27:41.612 |INFO    | funbuild.core.submodule_workspace_build : submodule_workspace_build: 282 | funbuild | - build /home/bingtao/workspace/github/farfarfun/funmill-dev/apps/funmill-api with shared version 0.1.1
2026-09-21 15:16:06.739 |INFO    | funbuild.core.submodule_workspace_build : submodule_workspace_build: 275 | funbuild | - funmill-dev build (submodule workspace)
2026-09-21 15:16:06.740 |INFO    | funbuild.core.base : base: 149 | funbuild | - funmill-dev pull
2026-09-21 15:16:07.220 |INFO    | funbuild.core.submodule_workspace_build : submodule_workspace_build: 282 | funbuild | - build /home/bingtao/workspace/github/farfarfun/funmill-dev/apps/funmill-api with shared version 0.1.2
2026-09-21 15:16:17.103 |INFO    | funbuild.core.submodule_workspace_build : submodule_workspace_build: 282 | funbuild | - build /home/bingtao/workspace/github/farfarfun/funmill-dev/apps/funmill-sdk with shared version 0.1.2
2026-09-21 15:23:29.668 |INFO    | funbuild.core.submodule_workspace_build : submodule_workspace_build: 275 | funbuild | - funmill-dev build (submodule workspace)
2026-09-21 15:23:29.668 |INFO    | funbuild.core.base : base: 149 | funbuild | - funmill-dev pull
2026-09-21 15:23:30.193 |INFO    | funbuild.core.submodule_workspace_build : submodule_workspace_build: 282 | funbuild | - build /home/bingtao/workspace/github/farfarfun/funmill-dev/apps/funmill-api with shared version 0.1.8
2026-09-21 15:23:40.518 |INFO    | funbuild.core.submodule_workspace_build : submodule_workspace_build: 282 | funbuild | - build /home/bingtao/workspace/github/farfarfun/funmill-dev/apps/funmill-sdk with shared version 0.1.8
2026-09-21 15:23:49.769 |INFO    | funbuild.core.base : base: 191 | funbuild | - funmill-dev push
